instruction,input,output
Write a short story about a person who discovers a magical tree., <noinput>," A young girl named Alice discovered an enchanted tree while exploring her garden at night. Upon touching it, she found herself transported into a magical world beyond her wildest dreams- full of wondrous creatures and strange landscapes that beckoned her further."
"Identify protagonist of book ""To Kill a Mockingbird"".", <noiput>, Scout Finch is considered as protagonist figure in novel To Kill A Mockingbird written by Harper Lee.
What is atomic number if sodium?, <noinput>, The atomic number for sodium is 11.
"Correct the spelling mistake in this sentence - ""I loove ice cream.""", <noinput>," The correct spelling would be ""I love ice cream."""
"Generate a grocery list with the following items: milk, bread, eggs, apples, yogurt.", <noinput>, Grocery list could include eggs for breakfasts yogurt as a snack item to keep you full throughout the day along with milk to enjoy with cereal or coffee & snacks such as crisp apples and freshly baked bread.
"Identify composer of song ""Bohemian Rhapsody"".", <noinput>, Freddie Mercury was the composer of the song Bohemian Rhapsody.instruction:
Which country is known for Great Barrier Reef?, <noinput>, Australia is known for having the Great Barrier Reef.
Write persuasive speech on importance of recycling., <noinput>, Recycling plays an important role in conserving our environment by reducing waste and utilizing resources efficiently. By recycling more we can help conserve natural resources and cut back on pollution that causes harm to our planet.
"Edit this sentence for proper capitalization and punctuation - ""my favorite color is green what about you?""", <noinput>, My favorite color is green. What about you?
Generate a poem about autumn., <noinput>," Leaves fall gently from trees,"
What is the name of the largest desert in the world?, <noinput>, The Sahara Desert is considered as the largest desert in the world.
"Translate following sentence into French - ""I will be back tomorrow.""", <noinput>, Je reviendrai demain.
"Edit this sentence to include correct subject and verb agreement: ""The dogs barks loudly.""", <noinput>, The dog barks loudly.
"Who is director of movie ""The Shawshank Redemption""?", <noinput>," Frank Darabont directed the movie ""The Shawshank Redemption."""
What is chemical formula for water?, <noinput>, The chemical formula for water is H2O.
Write short biography on Malala Yousafzai., <noinput>," Malala Yousafzai was born on July 12, 1997, in Pakistan, and quickly came to public attention due to her activism and outspokenness against Taliban who were against education for girls- becoming a global symbol of women empowerment and social justice causes worldwide through her story & work that continue to inspire millions today."
What is name of instrument used to measure blood pressure?, <noinput>, The Sphygmomanometer serves as an instrument used to measure blood pressure.
"Correct grammar error in this sentence - ""Me and my friends went to the mall.""", <noinput>, My friends and I went to the mall.
"Generate list of five antonyms for word ""hot"".", <noinput>," Some antonyms for hot include cold, cool, chilly, frigid, and freezing."
"Edit this sentence for proper verb tense - ""I was walk to the store last night.""", <noinput>, I walked to the store last night.
Write a review of book you recently read., <noinput>," The Alchemist is an inspiring book by Paulo Coelho that explores themes such as following your dreams and finding your personal legend. The story is filled with unique characters and settings that take readers on a journey through self-discovery and adventure. Overall, it's a highly recommended read for anyone looking for inspiration or seeking wisdom in life's journey."
What is name of largest mountain range in world?, <noinput>, The Himalayas are considered as the largest mountain range in the world.
"Translate following sentence into German - ""I love pizza.""", <noinput>, Ich liebe Pizza.
"Edit this sentence to remove double negative - ""I don't want nothing for my birthday.""", <noinput>, I don't want anything for my birthday.
"Who is artist behind painting ""Starry Night""?", <noinput>," Vincent van Gogh is the artist behind the painting ""Starry Night."""
What is name of largest river in world?, <noinput>, The Amazon River is considered as the largest river in the world.
Write short story about person who travels to space., <noinput>," John had always dreamed of traveling to space. He finally got his chance when he was selected by NASA for their next mission. After months of intense training, he boarded a spacecraft with a team of astronauts and set off into the infinite expanse of the cosmos. As they soared through galaxies and explored new worlds, John discovered a sense of wonder and awe that he never thought possible."
What is name of process by which plants convert light into energy?, <noinput>, The process by which plants convert light into energy is called photosynthesis.
"Correct spelling mistake in this sentence - ""I accidentally dropped my phonne.""", <noinput>," The correct spelling would be ""phone."""
"Identify main character in movie ""Forrest Gump"".", <noinput>, Forrest Gump himself serves as main protagonist & title character in movie named after him; played by Tom Hanks where his personality blesses him to achieve great things despite initial odds stacked against him.
Generate recipe for grilled cheese sandwiches., <noinput>," Ingredients needed for grilled cheese sandwiches include bread, butter, and cheese. Butter the outside of each slice of bread, place a slice of cheese in between, and cook in a skillet over medium heat until bread is golden brown and cheese is melted."
What is name of largest island in world?, <noinput>, Greenland is considered as the largest island in the world.
Write descriptive paragraph about your favorite place to relax., <noinput>, My favorite place to relax is by the beach. The sound of waves crashing on the shore while I feel sand beneath my toes helps me unwind from everyday stresses. Watching sunsets over the water provides endless inspiration and blessings that make me appreciate life more fully.
What is name of person who invented telephone?, <noinput>, Alexander Graham Bell invented telephone.
"Translate following sentence into Italian - ""How are you doing today?""", <noinput>, Come stai oggi?
"Edit this sentence to remove double punctuation - ""I can't believe it!!!""", <noinput>," ""I can't believe it!"""
What is name of largest ocean in world?, <noinput>, Pacific Ocean serves as largest ocean present on this planet earth.
Generate list of five homophones., <noinput>," Some examples of homophones include bear/bare, their/there/they're, to/too/two, hear/here and knight/night."
What is name of person who painted Mona Lisa?, <noinput>," Leonardo da Vinci is the artist behind the painting ""Mona Lisa."""
"Write short story that ends with phrase ""and that's why they call it the city of love.""", <noinput>," Laughter echoed through streets lined with cafes as two strangers locked eyes across a crowded piazza. As they shared their first kiss by the Seine River under a starry sky in Paris, he whispered into her ear, ""and that's why they call it the city of love."" She smiled, knowing she had found what she had been looking for all along - true love in one of the most romantic cities in the world."
Generate a short story about a cat who learns to talk to humans.," ""A small cat named Mittens realized she could suddenly speak English."""," Mittens immediately tried out her new skill by saying ""Hello"" to the humans in the room, who were surprised but delighted by their talking feline."
"Classify the following animals as domestic or wild: dog, lion, hamster, tiger.", <noinput>, Dog - Domestic. Lion - Wild. Hamster - Domestic. Tiger - Wild.
"Edit this sentence to make it grammatically correct: ""Me is going to the store.""", <noinput>, I am going to the store.
List 5 different ways to prepare potatoes.," ""I have a bag of potatoes and don't know what to do with them.""", 
Generate a list of the 10 largest countries in the world by land area., <noinput>, 
Write a persuasive essay arguing in favor of renewable energy sources.," ""Climate change is a major problem facing the world today.""", 
"Translate the phrase ""I love you"" into Spanish, French, and German.", <noinput>, Spanish - Te quiero / Te amo. French - Je t'aime. German - Ich liebe dich
"Correct the spelling errors in the following sentence: ""I havent seen you in awhile.""", <noinput>, I haven't seen you in a while.
Generate a poem about a thunderstorm., <noinput>," The sky begins to darken with heavy clouds,"
"Identify the author and title of the book that begins with the line ""It was the best of times, it was the worst of times.""", <noinput>, Tale Of Two Cities by Charles Dickens.
"Summarize in one sentence the plot of the movie ""The Shawshank Redemption.""", <noinput>, 
Convert 75 degrees Fahrenheit to Celsius., <noinput>, 75°F = 23.9°C.
Create a grocery list for a vegetarian meal that feeds 4 people., <noinput>, 
Identify the chemical elements present in the compound NaCl., <noinput>, Sodium and Chlorine.
Write a short biography of Albert Einstein., <noinput>," Albert Einstein was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics, and is best known for his mass–energy equivalence formula E=mc² which has been dubbed ""the world's most famous equation"". He received the Nobel Prize in Physics in 1921 for his contributions to theoretical physics and he passed away on April 18,1955 at age 76 ."
"Correct the punctuation errors in the following sentence: ""I can't believe it's already Tuesday, where did the week go!!!""", <noinput>, 
"Explain the difference between ""there,"" ""their,"" and ""they're.""", <noinput>," ""There"" refers to a place, while ""their"" is a possessive pronoun indicating ownership by multiple people, and ""they're"" is a contraction of ""they are."""
Create a list of the 5 best movies released in the last 10 years., <noinput>, 
"Identify the protagonist and antagonist in the novel ""To Kill a Mockingbird.""", <noinput>, 
Generate a recipe for chocolate chip cookies., <noinput>, 
Explain the concept of supply and demand in economics., <noinput>," Supply and demand is a fundamental concept in economics that describes how the quantity of a good or service produced by suppliers (supply) interacts with the level of consumer demand for that good or service to determine its price on the open market, where equilibrium can be established when both forces balance each other out."
"Identify the capital cities of the following countries: Italy, Canada, South Africa.", <noinput>, 
"Describe the plot of the play ""Romeo and Juliet.""", <noinput>, 
"Edit this sentence to make it more concise: ""There are numerous reasons why I enjoy spending time with my friends.""", <noinput>, I love spending time with my friends for a myriad of reasons.
Explain the process of photosynthesis in plants., <noinput>, 
Generate a letter of recommendation for a former employee., <noinput>, 
"Identify the composers of the following musical pieces: Moonlight Sonata, Flight of the Bumblebee, The Four Seasons.", <noinput>, 
Write a short story about a character who discovers they have a superpower., ," Emily had always felt like she was different from everyone else, but it wasn't until her 18th birthday that things really started getting weird. Suddenly, she was able to teleport herself anywhere she wanted just by thinking about it, and it wasn't long before Emily realized that this was definitely not something other people could do."
Write a list of 5 healthy breakfast options., <noinput>, 
"Identify the protagonist in the novel ""The Catcher in the Rye.""", <noinput>, Protagonist - Holden Caulfield
Explain the concept of gravity., <noinput>," Gravity is a fundamental force in physics that describes the attraction between two objects with mass, which causes them to pull towards each other and determines their motion in space. The strength of this force depends on the distance between the objects as well as their masses, with larger masses producing stronger gravitational effects. It is responsible for keeping planets in orbit around stars, moons around planets, and for determining the trajectory and acceleration of objects moving through space."
Generate a list of the top 10 movies of all time., <noinput>, 
"Classify the following sentence as either a question, statement or command: ""Can you pass me the salt?""", <noinput>, Question.
"Edit the following paragraph for grammar and spelling errors: ""My freind adore's the outdoors, but hates the wether in the winter.""", <noinput>, My friend adores the outdoors but hates the weather in winter.
"Generate a summary of the article ""Maintaining health while working from home"".", https://www.medicalnewstoday.com/articles/working-from-home-health-tips," This article provides advice on how to maintain physical and mental health while working from home by establishing boundaries between work and personal life, creating an ergonomic workspace, engaging in regular exercise breaks throughout the day, staying hydrated, and taking breaks for relaxation and stress relief."
